term_lower	term	confidence	domains	defined_in
automatonwithepsilontransitions	AutomatonWithEpsilonTransitions	medium	03_Mathematical_logic_and_foundations	JuxtapositionOfAutomata;KleeneStarOfAnAutomaton
automorphic number	automorphic number	high	11_Number_theory	AutomorphicNumber
automorphism	automorphism	high	03_Mathematical_logic_and_foundations;08_General_algebraic_systems;18_Category_theory_homological_algebra;20_Group_theory_and_generalizations;54_General_topology	Automorphism;AutomorphismGrouplinearCode;Endomorphism
automorphism
group	automorphism
group	medium	55_Algebraic_topology	DeckTransformation
automorphism bundle	automorphism bundle	high	55_Algebraic_topology	GaugeGroup
automorphism group	automorphism group	high	20_Group_theory_and_generalizations;94_Information_and_communication_circuits	AutomorphismGrouplinearCode;InnerAutomorphism
automorphism group (linear code)	automorphism group (linear code)	high	94_Information_and_communication_circuits	AutomorphismGrouplinearCode
automorphism group of a cyclic group	automorphism group of a cyclic group	high	20_Group_theory_and_generalizations	AutomorphismGroupOfACyclicGroup
automorphism groupoid of quantum transitions	automorphism groupoid of quantum transitions	high	18_Category_theory_homological_algebra	AlgebraicCategoryOfQuantumAutomata
automorphism of a group	automorphism of a group	high	20_Group_theory_and_generalizations	GroupHomomorphism
automorphisms	automorphisms	medium	94_Information_and_communication_circuits	AutomorphismGrouplinearCode
automorphisms of unit disk	automorphisms of unit disk	high	30_Functions_of_a_complex_variable	AutomorphismsOfUnitDisk
autonomous	autonomous	high	34_Ordinary_differential_equations	AutonomousSystem
autonomous equation	autonomous equation	high	34_Ordinary_differential_equations	AutonomousSystem
autonomous system	autonomous system	high	34_Ordinary_differential_equations	AutonomousSystem
autopoiesis and cognition-the realization of the living	Autopoiesis and Cognition-The Realization of the Living	medium	92_Biology_and_other_natural_sciences	BibliographyInAlgebraicTopologycategoriesAndQAT
autoregressive model	autoregressive model	high	60_Probability_theory_and_stochastic_processes	AutoregressiveModel
auxiliary symbol	auxiliary symbol	high	03_Mathematical_logic_and_foundations	FirstOrderLanguage
auxiliary symbols	auxiliary symbols	medium	03_Mathematical_logic_and_foundations	FirstOrderLanguage
auxiliary triangle	auxiliary triangle	high	51_Geometry	MedialTriangle
auxiliary variable	auxiliary variable	high	00_General	Parametre
average	average	high	26_Real_functions	ArithmeticMean
average order	average order	high	11_Number_theory	NormalOrder
average value	average value	high	26_Real_functions	AverageValueOfFunction
average value of function	average value of function	high	26_Real_functions	AverageValueOfFunction
averaging condition	averaging condition	medium	42_Fourier_analysis	GeneralizedRiemannLebesgueLemma
averisera	averisera	high	51_Geometry	CurveOfAgnesi
avl tree	AVL tree	high	05_Combinatorics	AVLTree
avoids	avoids	medium	05_Combinatorics	PermutationPattern
avversiera	avversiera	high	51_Geometry	CurveOfAgnesi
away from the root	away from the root	medium	03_Mathematical_logic_and_foundations	LogicalGraphIntroduction
axial	axial	high	51_Geometry	Collineation
axial collineation	axial collineation	high	51_Geometry	Collineation
axial vector	axial vector	high	53_Differential_geometry	AxialVector
axiom	axiom	high	03_Mathematical_logic_and_foundations;54_General_topology;92_Biology_and_other_natural_sciences	25TheHigherGroupoidStructureOfTypeFormers;Axiom;LindenmayerSystem
axiom $\varepsilon$: if $f$ is a predicate with a free occurrence of $y$, then	Axiom $\varepsilon$: If $F$ is a predicate with a free occurrence of $y$, then	medium	03_Mathematical_logic_and_foundations	Hilbertsvarepsilonoperator
axiom 1	Axiom 1	medium	05_Combinatorics	AxiomaticProjectiveGeometry
axiom 1.	Axiom 1.	medium	18_Category_theory_homological_algebra	AbelianCategory
axiom 1:	Axiom 1:	medium	03_Mathematical_logic_and_foundations	Predicativism
axiom 2	Axiom 2	medium	05_Combinatorics	AxiomaticProjectiveGeometry
axiom 2.	Axiom 2.	medium	18_Category_theory_homological_algebra	AbelianCategory
axiom 2:	Axiom 2:	medium	03_Mathematical_logic_and_foundations	Predicativism
axiom 3	Axiom 3	medium	05_Combinatorics	AxiomaticProjectiveGeometry
axiom 3.	Axiom 3.	medium	18_Category_theory_homological_algebra	AbelianCategory
axiom 3:	Axiom 3:	medium	03_Mathematical_logic_and_foundations	Predicativism
axiom 4.	Axiom 4.	medium	18_Category_theory_homological_algebra	AbelianCategory
axiom 5.	Axiom 5.	medium	18_Category_theory_homological_algebra	AbelianCategory
axiom 6.	Axiom 6.	medium	18_Category_theory_homological_algebra	AbelianCategory
axiom a	Axiom A	high	37_Dynamical_systems_and_ergodic_theory	AxiomA
axiom e	Axiom E	medium	03_Mathematical_logic_and_foundations	TheInclusionOfClassicalIntoIntuitionisticLogic
axiom f	Axiom F	medium	03_Mathematical_logic_and_foundations	TheInclusionOfClassicalIntoIntuitionisticLogic
axiom g	Axiom G	medium	03_Mathematical_logic_and_foundations	TheInclusionOfClassicalIntoIntuitionisticLogic
axiom k	Axiom K	medium	03_Mathematical_logic_and_foundations	Chapter1Notes
axiom of (unrestricted) comprehension	axiom of (unrestricted) comprehension	medium	03_Mathematical_logic_and_foundations	RussellsParadox
axiom of archimedes	axiom of Archimedes	high	12_Field_theory_and_polynomials	ArchimedeanProperty
axiom of choice	axiom of choice	high	03_Mathematical_logic_and_foundations	32PropositionsAsTypes;AxiomOfChoice;Constructivity
axiom of choice for finite sets	axiom of choice for finite sets	high	03_Mathematical_logic_and_foundations	VariationsOnAxiomOfChoice
axiom of comprehension	axiom of comprehension	high	03_Mathematical_logic_and_foundations	ComprehensionAxiom;RussellsParadox
axiom of countable choice	axiom of countable choice	high	03_Mathematical_logic_and_foundations	AxiomOfCountableChoice
axiom of dependent choices	axiom of dependent choices	high	03_Mathematical_logic_and_foundations	AxiomOfDependentChoices
axiom of determinacy	axiom of determinacy	high	03_Mathematical_logic_and_foundations	AxiomOfDeterminacy
axiom of elementary theory of abstract categories	axiom of elementary theory of abstract categories	high	70_Mechanics_of_particles_and_systems	ETAC
axiom of extensionality	axiom of extensionality	high	03_Mathematical_logic_and_foundations	AxiomOfExtensionality
axiom of foundation	axiom of foundation	high	03_Mathematical_logic_and_foundations	AxiomOfFoundation
axiom of induction	axiom of induction	high	03_Mathematical_logic_and_foundations	InductionAxiom;PeanoArithmetic
axiom of infinity	axiom of infinity	high	03_Mathematical_logic_and_foundations	AxiomOfInfinity
axiom of multiple choice	axiom of multiple choice	high	03_Mathematical_logic_and_foundations	VariationsOnAxiomOfChoice
axiom of pairing	axiom of pairing	high	03_Mathematical_logic_and_foundations	AxiomOfPairing
axiom of power set	axiom of power set	high	03_Mathematical_logic_and_foundations	AxiomOfPowerSet
axiom of powerset	axiom of powerset	high	03_Mathematical_logic_and_foundations	AxiomOfPowerSet
axiom of reducibility	axiom of reducibility	high	03_Mathematical_logic_and_foundations	Chapter3Notes;Predicativism;RussellsTheoryOfTypes
axiom of regularity	axiom of regularity	high	03_Mathematical_logic_and_foundations	AxiomOfFoundation
axiom of separation	axiom of separation	high	03_Mathematical_logic_and_foundations	ComprehensionAxiom
axiom of specification	axiom of specification	high	03_Mathematical_logic_and_foundations	ComprehensionAxiom
axiom of union	axiom of union	high	03_Mathematical_logic_and_foundations	AxiomOfUnion
axiom of unrestricted comprehension	axiom of unrestricted comprehension	high	03_Mathematical_logic_and_foundations	RussellsParadox
axiom schema	axiom schema	high	03_Mathematical_logic_and_foundations	LogicalAxiom
axiom schema of separation	axiom schema of separation	high	03_Mathematical_logic_and_foundations	AxiomSchemaOfSeparation
axiom schemas	axiom schemas	medium	03_Mathematical_logic_and_foundations	AxiomSystemForPropositionalLogic
axiom schemata	axiom schemata	high	03_Mathematical_logic_and_foundations	LogicalAxiom
axiom scheme	axiom scheme	high	03_Mathematical_logic_and_foundations	LogicalAxiom
axiom scheme of comprehension	axiom scheme of comprehension	medium	03_Mathematical_logic_and_foundations	Predicativism
axiom system	axiom system	high	03_Mathematical_logic_and_foundations	HilbertSystem
axiom system for classical propositional logic	axiom system for classical propositional logic	high	03_Mathematical_logic_and_foundations	AxiomSystemForPropositionalLogic
axiom system for first order logic	axiom system for first order logic	high	03_Mathematical_logic_and_foundations	AxiomSystemForFirstOrderLogic
axiom system for intuitionistic propositional logic	axiom system for intuitionistic propositional logic	high	03_Mathematical_logic_and_foundations	AxiomSystemForIntuitionisticPropositionalLogic
axiom system for propositional logic	axiom system for propositional logic	high	03_Mathematical_logic_and_foundations	AxiomSystemForPropositionalLogic
axiomathes	Axiomathes	medium	00_General;01_History_and_biography;03_Mathematical_logic_and_foundations;08_General_algebraic_systems;18_Category_theory_homological_algebra	BibliographyForAxiomaticsAndMathematicsFoundationsInCategories;BibliographyForCategoryTheory;BibliographyForMathematicalBiophysicsAndRelationalTheories
axiomathes,	Axiomathes,	medium	03_Mathematical_logic_and_foundations	BibliographyOfManyvaluedLogicsAndApplications
axiomatic	axiomatic	medium	03_Mathematical_logic_and_foundations	ConsequenceOperator
axiomatic consequence operator	axiomatic consequence operator	high	03_Mathematical_logic_and_foundations	ConsequenceOperator
axiomatic construction of the theory of categories and functors	axiomatic construction of the theory of categories and functors	high	70_Mechanics_of_particles_and_systems	ETAC
axiomatic definition of the real numbers	axiomatic definition of the real numbers	high	54_General_topology	AxiomaticDefinitionOfTheRealNumbers
axiomatic elementary theory of abstract categories (etac)	axiomatic elementary theory of abstract categories (ETAC)	medium	08_General_algebraic_systems	CategoricalAlgebra
axiomatic elementary theory of categories and functors	axiomatic elementary theory of categories and functors	high	70_Mechanics_of_particles_and_systems	ETAC
axiomatic freedom	axiomatic freedom	medium	03_Mathematical_logic_and_foundations	111PropositionsAsTypes
axiomatic geometry	axiomatic geometry	high	51_Geometry	AxiomaticGeometry
axiomatic projective geometry	axiomatic projective geometry	high	05_Combinatorics	AxiomaticProjectiveGeometry
axiomatic set theory	axiomatic set theory	medium	03_Mathematical_logic_and_foundations;68_Computer_science	FromHilbertsTenthProblemToGodelsTrichotomy;RelationTheory
axiomatic theory of categories and functors	axiomatic theory of categories and functors	high	70_Mechanics_of_particles_and_systems	ETAC
axiomatic theory of supercategories	axiomatic theory of supercategories	medium	70_Mechanics_of_particles_and_systems	ETAC
axiomaticandcategoricalfoundationsofmathematicsii	AxiomaticAndCategoricalFoundationsOfMathematicsII	medium	00_General	OverviewOfTheContentOfPlanetMath
axiomaticgeometry	AxiomaticGeometry	medium	51_Geometry	Geometry
axiomatics and formal logics	axiomatics and formal logics	high	53_Differential_geometry;55_Algebraic_topology	AnalyticsAndFormalLogicsInMetamathematics;BibliographyForAxiomaticsAndMathematicsFoundationsInCategories
axiomatisable class	axiomatisable class	high	03_Mathematical_logic_and_foundations	AxiomatizableClass
axiomatizable	axiomatizable	medium	03_Mathematical_logic_and_foundations	AxiomatizableClass;FirstorderTheory
axiomatizable class	axiomatizable class	high	03_Mathematical_logic_and_foundations	AxiomatizableClass
axiomatizable theory	axiomatizable theory	high	03_Mathematical_logic_and_foundations	FirstorderTheory
axiomatization of dependence	axiomatization of dependence	high	15_Linear_and_multilinear_algebra_matrix_theory	AxiomatizationOfDependence
axiomatized by	axiomatized by	medium	03_Mathematical_logic_and_foundations	Model
axiomless	axiomless	medium	03_Mathematical_logic_and_foundations	ConsequenceOperator
axiomless consequence operator	axiomless consequence operator	high	03_Mathematical_logic_and_foundations	ConsequenceOperator
axiomofchoice	AxiomOfChoice	medium	03_Mathematical_logic_and_foundations;06_Order_lattices_ordered_algebraic_structures;28_Measure_and_integration	AxiomOfCountableChoice;BanachTarskiParadox;ChoiceFunction
axioms	axioms	medium	03_Mathematical_logic_and_foundations;05_Combinatorics;68_Computer_science	11TypeTheoryVersusSetTheory;62InductionPrinciplesAndDependentPaths;DeductiveSystem
axioms of congruence	axioms of congruence	high	51_Geometry	CongruenceAxioms
axioms of metacategories and supercategories	axioms of metacategories and supercategories	high	81_Quantum_theory	ETASInterpretation
axioms of order	axioms of order	high	51_Geometry	BetweennessRelation
axioms of topoi	axioms of topoi	high	18_Category_theory_homological_algebra	ToposAxioms
axioms:	Axioms:	medium	03_Mathematical_logic_and_foundations	TheInclusionOfClassicalIntoIntuitionisticLogic
axiomsofmetacategoriesandsupercategories	AxiomsOfMetacategoriesAndSupercategories	medium	81_Quantum_theory	AlgebroidStructuresAndExtendedSymmetries
axiomsystemforfirstorderlogic	AxiomSystemForFirstOrderLogic	medium	03_Mathematical_logic_and_foundations	DeductionTheoremHoldsForFirstOrderLogic
axiomsystemforintuitionisticlogic	AxiomSystemForIntuitionisticLogic	medium	03_Mathematical_logic_and_foundations	DeductionTheoremHoldsForIntuitionisticPropositionalLogic;SomeTheoremSchemasOfIntuitionisticPropositionalLogic
axiomsystemforpropositionallogic	AxiomSystemForPropositionalLogic	medium	03_Mathematical_logic_and_foundations	DeductionTheoremHoldsForClassicalPropositionalLogic;DeductionTheoremHoldsForFirstOrderLogic;SomeMetatheoremsOfPropositionalLogic
axis	axis	high	51_Geometry	CentralCollineations;Collineation;DesarguesTheorem
axis of revolution	axis of revolution	high	57_Manifolds_and_cell_complexes	SurfaceOfRevolution
azimuthal angle	azimuthal angle	high	51_Geometry	SphericalCoordinates
b*-algebra	B*-algebra	high	46_Functional_analysis	BanachAlgebra
b-algebra	B-algebra	high	46_Functional_analysis	BanachAlgebra
b-infinitesimal	B-infinitesimal	medium	03_Mathematical_logic_and_foundations	Infinitesimal
b-spline	B-spline	high	51_Geometry	Bspline
b-spline basis function	B-spline basis function	high	51_Geometry	Bspline
